Latitude,Longitude,Altitude,Date,Time
16.462086,80.506577,44.500000,N/A,12:17:14
16.462086,80.506577,44.500000,N/A,12:17:14
16.462090,80.506577,43.299999,N/A,12:17:35
16.462090,80.506577,43.299999,N/A,12:17:35
16.462093,80.506592,44.299999,N/A,12:17:56
16.462095,80.506599,44.000000,N/A,12:18:22
16.462095,80.506599,44.000000,N/A,12:18:22
16.462093,80.506599,44.099998,N/A,12:18:43
16.462093,80.506599,44.099998,N/A,12:18:43
16.462088,80.506660,49.799999,N/A,12:22:01
16.462088,80.506660,49.799999,N/A,12:22:01
16.462078,80.506638,49.900002,N/A,12:22:22
16.462078,80.506638,49.900002,N/A,12:22:22
16.462080,80.506622,49.700001,N/A,12:22:43
16.462080,80.506622,49.700001,N/A,12:22:43
16.462086,80.506607,50.000000,N/A,12:23:04
16.462086,80.506607,50.000000,N/A,12:23:04
16.462086,80.506599,50.000000,N/A,12:23:25
16.462086,80.506599,50.000000,N/A,12:23:25
16.462059,80.506561,50.299999,N/A,12:23:46
16.462059,80.506561,50.299999,N/A,12:23:46
16.462065,80.506569,46.900002,N/A,12:24:07
16.462065,80.506569,46.900002,N/A,12:24:07
16.462105,80.506554,45.700001,N/A,12:24:28
16.462105,80.506554,45.700001,N/A,12:24:28
16.462105,80.506554,45.700001,N/A,12:24:28
16.462105,80.506554,45.700001,N/A,12:24:28
16.462116,80.506493,49.099998,N/A,12:25:09
16.462116,80.506493,49.099998,N/A,12:25:09
16.462116,80.506493,49.099998,N/A,12:25:09
16.462189,80.506447,48.799999,N/A,12:25:40
16.462189,80.506447,48.799999,N/A,12:25:40
16.462189,80.506447,48.799999,N/A,12:25:40
16.462189,80.506447,48.799999,N/A,12:25:40
16.462477,80.506363,44.700001,N/A,12:26:21
16.462477,80.506363,44.700001,N/A,12:26:21
16.462477,80.506363,44.700001,N/A,12:26:21
16.462763,80.506317,49.500000,N/A,12:26:52
16.462763,80.506317,49.500000,N/A,12:26:52
16.462763,80.506317,49.500000,N/A,12:26:52
16.462965,80.506622,35.700001,N/A,12:27:23
16.462965,80.506622,35.700001,N/A,12:27:23
16.462965,80.506622,35.700001,N/A,12:27:23
16.462975,80.506622,36.900002,N/A,12:27:54
16.462975,80.506622,36.900002,N/A,12:27:54
16.462975,80.506622,36.900002,N/A,12:27:54
16.462975,80.506790,35.500000,N/A,12:28:25
